start_day_of_week,start_hour_label,total_trips,top_start_station,loop_trip_rate,avg_trip_duration_min,avg_trip_duration_text,avg_trip_distance_miles,avg_speed_mph,top_end_station
Friday,1 AM,12800,Washington Ave & Park Ave,4.1,14.4,14 minutes 24 seconds,1.44,6.0,Ave A & E 14 St
Friday,1 PM,77682,W 21 St & 6 Ave,2.8,13.3,13 minutes 18 seconds,1.2,5.41,W 31 St & 7 Ave
Friday,10 AM,58152,Central Park S & Grand Army Plaza,2.5,12.6,12 minutes 36 seconds,1.22,5.81,W 21 St & 6 Ave
Friday,10 PM,47729,8 Ave & W 31 St,3.0,14.8,14 minutes 48 seconds,1.64,6.65,11 Ave & W 41 St
Friday,11 AM,62690,Central Park S & Grand Army Plaza,2.8,13.4,13 minutes 24 seconds,1.21,5.42,W 21 St & 6 Ave
Friday,11 PM,41039,W 4 St & 7 Ave S,3.1,14.7,14 minutes 42 seconds,1.47,6.0,Canal St & Rutgers St
Friday,12 AM,21841,W 4 St & 7 Ave S,3.1,14.4,14 minutes 24 seconds,1.44,6.0,Canal St & Rutgers St
Friday,12 PM,71541,Central Park S & Grand Army Plaza,3.1,13.6,13 minutes 36 seconds,1.18,5.21,9 Ave & W 33 St
Friday,2 AM,7601,W 50 St & 9 Ave,4.5,14.2,14 minutes 12 seconds,1.42,6.0,Ave A & E 14 St
Friday,2 PM,82469,Broadway & W 58 St,3.0,14.0,14 minutes 0 seconds,1.51,6.47,W 41 St & 8 Ave
Friday,3 AM,4674,Allen St & Rivington St,4.4,13.7,13 minutes 42 seconds,1.4,6.13,8 Ave & W 31 St
Friday,3 PM,91482,West St & Chambers St,2.7,14.1,14 minutes 6 seconds,1.28,5.45,W 31 St & 7 Ave
Friday,4 AM,4475,6 Ave & W 33 St,3.4,13.8,13 minutes 48 seconds,1.45,6.3,8 Ave & W 31 St
Friday,4 PM,104135,North Moore St & Greenwich St,2.7,14.2,14 minutes 12 seconds,1.3,5.49,8 Ave & W 31 St
Friday,5 AM,9499,W 41 St & 8 Ave,1.6,10.6,10 minutes 36 seconds,1.36,7.7,E 33 St & 1 Ave
Friday,5 PM,121174,West St & Chambers St,2.4,14.0,14 minutes 0 seconds,1.32,5.66,11 Ave & W 41 St
Friday,6 AM,25758,W 41 St & 8 Ave,1.2,10.4,10 minutes 24 seconds,1.74,10.04,1 Ave & E 68 St
Friday,6 PM,106276,West St & Chambers St,2.7,13.8,13 minutes 48 seconds,1.3,5.65,11 Ave & W 41 St
Friday,7 AM,45910,E 33 St & 1 Ave,1.4,10.8,10 minutes 48 seconds,1.31,7.28,North Moore St & Greenwich St
Friday,7 PM,82881,Pier 61 at Chelsea Piers,2.8,14.1,14 minutes 6 seconds,1.29,5.49,10 Ave & W 14 St
Friday,8 AM,68691,11 Ave & W 41 St,1.3,11.3,11 minutes 18 seconds,1.31,6.96,E 47 St & Park Ave
Friday,8 PM,66219,Pier 61 at Chelsea Piers,3.0,14.3,14 minutes 18 seconds,1.29,5.41,11 Ave & W 41 St
Friday,9 AM,66549,Broadway & E 21 St,1.7,11.6,11 minutes 36 seconds,1.25,6.47,W 18 St & 6 Ave
Friday,9 PM,51821,10 Ave & W 14 St,3.1,14.5,14 minutes 30 seconds,1.32,5.46,11 Ave & W 41 St
Monday,1 AM,7885,8 Ave & W 31 St,5.3,14.6,14 minutes 36 seconds,1.37,5.63,11 Ave & W 41 St
Monday,1 PM,62296,W 21 St & 6 Ave,3.0,13.7,13 minutes 42 seconds,1.15,5.04,W 21 St & 6 Ave
Monday,10 AM,51684,Broadway & W 53 St,2.4,12.9,12 minutes 54 seconds,1.2,5.58,Broadway & W 58 St
Monday,10 PM,39811,Pier 40 - Hudson River Park,3.2,13.4,13 minutes 24 seconds,1.5,6.72,11 Ave & W 41 St
Monday,11 AM,53813,Broadway & W 58 St,2.8,13.4,13 minutes 24 seconds,1.27,5.69,7 Ave & Central Park South
